#{"t_start": 1714974155.2314744, "env_id": "None"}
r,l,t
27.787541,169,0.176903
20.273037,151,0.280404
18.346082,150,0.384608
20.739634,151,0.491914
16.599986,147,0.599249
30.557228,151,0.706608
8.679951,123,0.788282
8.307319,119,0.865876
27.510715,156,0.970739
23.661163,150,1.068743
8.046416,121,1.15377
13.729443,140,1.253474
21.061388,150,1.352605
26.587663,155,1.454541
14.561671,141,2.420996
8.618157,125,2.502506
10.530219,130,2.592523
19.293921,151,2.698285
11.624498,131,2.786978
20.444275,156,2.893919
13.042175,127,2.988758
27.718073,167,3.105133
16.190526,138,3.196831
16.328673,146,3.294664
5.926483,110,3.368665
13.248363,133,3.457887
22.600975,161,3.564933
15.293752,134,3.663881
15.321515,139,4.653383
23.10747,147,4.753337
6.556216,117,4.838194
18.670462,150,4.949752
25.159094,171,5.062351
20.554365,129,5.152763
6.943527,117,5.230078
23.046086,162,5.338128
19.71234,152,5.44519
22.000347,153,5.561166
19.529993,156,5.671033
15.458444,144,5.769219
25.384513,170,5.889776
14.960188,144,5.997912
16.306176,151,6.968026
11.07747,134,7.061152
14.484281,132,7.15608
16.60532,143,7.257452
21.236913,164,7.368284
18.042478,150,7.467634
24.552244,159,7.607421
11.780533,129,7.697233
17.257577,156,7.80448
20.10242,150,7.90908
12.268316,126,7.998693
14.467116,139,8.099109
21.632014,154,8.203186
13.455684,146,8.300211
